date,open,close,high,low
2021-04-08,63519.0,62914.0,64829.0,61306.0
2021-04-15,56471.151714,53780.0,56790.0,53609.0
2021-04-22,55039.0,54859.0,56432.0,53917.0
2021-04-29,53251.0,57487.0,57898.0,52960.0
2021-05-06,56717.0,49614.0,58000.0,48611.0
2021-05-13,42898.48904022,36733.0,43600.0,29563.0
2021-05-20,38374.0,39301.0,40884.0,37851.57741397
2021-05-27,36673.0,37577.0,38222.0,35933.0
2021-06-03,33416.0,37368.0,37499.0,32469.0
2021-06-10,40143.0,38346.0,40460.0,38121.0
2021-06-17,32572.01808243,33691.0,34778.0,31790.0
2021-06-24,35918.54133667,35063.0,36099.0,34428.0
2021-07-01,34255.06205944,33889.0,35091.0,33810.0
2021-07-08,32729.0,32822.6431619,33128.0,31588.0
2021-07-15,29814.0,32154.0,32850.0,29523.0
2021-07-22,39490.0,40017.0,40900.0,38803.0
2021-07-29,38219.0,39743.0,39965.0,37519.81411605
2021-08-05,45611.0,45531.0,46727.0,45341.0
2021-08-12,44692.0,44721.0,46010.0,44266.0
2021-08-19,47696.45550645,48992.74927858,49255.0,47142.96628448
2021-08-26,47142.0,48823.0,49139.0,46590.0
2021-09-02,46854.0,46070.61738592,47351.0,44472.0
2021-09-09,47134.0,48137.0,48444.0,46724.0
2021-09-16,40748.0,43574.0,44000.0,40601.0
2021-09-23,41046.0,41530.0,42606.0,40804.0
2021-09-30,51497.0,55335.0,55743.0,50438.0
2021-10-07,56000.0,57368.0,57775.0,54300.0
2021-10-14,64263.93176072,66021.0,66958.0,63535.0
2021-10-21,60285.0,58449.27880851,61450.0,57950.0
2021-10-28,63249.0,62900.0,63565.0,60175.0
2021-11-04,66937.19022637,64871.0,68958.0,62866.0
2021-11-11,60069.0,60352.81595949,60851.0,58368.0
2021-11-18,57579.62257756,57166.0,57762.0,55894.51623388
2021-11-25,56988.82934176,57240.0,59055.0,56505.0
2021-12-02,50641.0,50503.43470097,51275.0,48726.0
2021-12-09,48392.0,48901.0,49520.0,46600.0
2021-12-16,48926.48057156,48626.0,49588.0,48459.75038112
2021-12-23,47556.0,46465.0,48166.0,46079.0
2021-12-30,45830.0,43455.0,47058.0,42505.0
2022-01-06,42744.0,43909.0,44315.0,42468.0
2022-01-13,42373.0,41676.0,42596.0,41158.0
2022-01-20,36995.0,36828.54217638,38935.0,36291.6959393
2022-01-27,38717.60475262,36913.0,38879.0,36633.0
2022-02-03,44079.55202568,44431.0,44865.0,43160.0
2022-02-10,44567.0,43909.0,44584.0,43352.0
2022-02-17,38294.0,37305.0,39310.0,37117.0
2022-02-24,44442.0,43952.0,45470.0,43378.82822903
2022-03-03,38764.0,41976.0,42607.0,38692.1802019
2022-03-10,39323.0,41138.0,41788.0,38878.0
2022-03-17,42370.0,42885.0,42995.0,41750.0
2022-03-24,47423.96908156,47049.0,47675.0,46446.0
2022-03-31,45490.44735913,43195.91199284,45520.0,43162.0
2022-04-07,40096.0,41155.0,41555.0,39607.0
2022-04-14,41514.0,41364.0,42223.0,40905.0
2022-04-21,38133.0,39263.0,39496.0,37900.0
2022-04-28,37752.0,39708.11961676,40046.0,37695.0
2022-05-05,31065.32759343,29149.0,32227.0,27900.0
2022-05-12,30440.0,28681.0,30702.0,28632.1300395
2022-05-19,29648.0,29525.65891892,30219.30951769,29333.0
2022-05-26,31798.25894723,29833.0,31974.1614267,29346.0
2022-06-02,31138.0,30226.0,31339.0,29872.0
2022-06-09,22143.0,22594.0,22810.0,20073.0
2022-06-16,20689.23205291,19944.0,20848.0,19730.0
2022-06-23,20271.0,20111.0,20430.0,19844.0
2022-06-30,20168.28749762,20557.05483986,20665.61764153,19758.0
2022-07-07,19308.0,20246.0,20347.0,18912.59691993
2022-07-14,23384.0,23209.0,24276.0,22905.0
2022-07-21,21268.0,22951.0,23100.0,21056.0
2022-07-28,22982.0,22813.87370738,23634.09748227,22680.0
2022-08-04,23141.0,23954.17992196,24227.0,22650.0
2022-08-11,23855.76464293,23332.48537268,24440.0,23170.0
2022-08-18,21528.0,21365.61149467,21930.0,21157.0
2022-08-25,19825.0,20058.0,20495.0,19812.0
2022-09-01,18794.0,19286.0,19463.0,18549.0
2022-09-08,20177.0,20234.10830414,20536.0,19624.0
2022-09-15,18886.0,18473.0,19981.0,18210.0
2022-09-22,19096.0,19419.0,19791.0,18478.0
2022-09-29,20344.0,20156.31380734,20363.0,19750.0
2022-10-06,19063.0,19160.0,19233.0,19025.0
2022-10-13,19332.0,19132.0,19361.0,19081.0
2022-10-20,20105.0,20790.0,21022.0,20077.0
2022-10-27,20501.0,20165.0,20817.0,20078.0
2022-11-03,18557.0,15923.0,18600.0,15588.0
2022-11-10,16887.0,16654.0,17002.0,16347.0
2022-11-17,16219.0,16613.0,16682.0,16168.0
2022-11-24,16454.0,17180.0,17297.0,16446.0
2022-12-01,17095.0,16846.0,17156.0,16701.0
2022-12-08,17786.0,17813.0,18391.0,17678.0
2022-12-15,16917.0,16845.0,16934.0,16750.0
2022-12-22,16719.0,16558.0,16797.0,16444.0
2022-12-29,16689.0,16864.0,17008.0,16671.0
2023-01-05,17446.0,17952.0,18009.0,17316.0
2023-01-12,21136.0,20684.0,21639.0,20408.0
2023-01-19,22627.0,23054.0,23812.0,22324.0
2023-01-26,23136.0,23723.0,23814.0,22757.0
2023-02-02,23245.0,22957.0,23430.0,22691.0
2023-02-09,22197.0,24318.0,24393.0,22063.0
2023-02-16,24466.0,24191.0,24485.0,23578.0
2023-02-23,23146.0,23646.0,24009.0,23036.0
2023-03-02,22209.0,21713.0,22291.0,21590.0
2023-03-09,24730.0,24321.0,25324.0,23931.0
2023-03-16,28111.0,27258.0,28818.0,26591.0
2023-03-23,27266.0,28345.0,28649.0,27253.0
2023-03-30,28153.0,28153.0,28801.0,27828.0
2023-04-06,30189.0,29879.0,30468.0,29677.0
2023-04-13,30392.0,28818.0,30412.0,28582.0
2023-04-20,28325.0,28427.0,30034.0,27234.0
2023-04-27,28680.0,29037.0,29282.0,28129.0
2023-05-04,27668.0,27622.0,28340.0,26850.0
2023-05-11,27058.0,27425.0,27532.0,26612.0
2023-05-18,27238.0,26344.0,27239.0,26067.0
